Table with row headers in column A and column headers in rows 4 through 5.,,,,,,,,,,,,,,,,
"Table 4a.  Reported Voting and Registration of the Citizen Voting-Age Population, for States: November 2016",,,,,,,,,,,,,,,,
(In thousands),,,,,,,,,,,,,,,,
STATE,Total Population,Total Citizen Population,Registered,,,,,Voted,,,,,,,,
,,,Total registered,"Percent registered
(Total)",Margin of Error 1,"Percent registered
(Citizen)",Margin of Error 1,Total voted,"Percent voted
(Total)",Margin of Error 1,"Percent voted
(Citizen)",Margin of Error 1,,,,
UNITED STATES,"245,502","224,059","157,596",64.2,0.3,70.3,0.3,"137,537",56.0,0.3,61.4,0.3,,,,
ALABAMA,"3,717","3,651","2,526",68.0,2.5,69.2,2.5,"2,095",56.4,2.7,57.4,2.7,,,,
ALASKA,518,502,358,69.1,2.6,71.3,2.6,308,59.4,2.8,61.3,2.8,,,,
ARIZONA,"5,196","4,585","3,145",60.5,2.2,68.6,2.3,"2,769",53.3,2.3,60.4,2.4,,,,
ARKANSAS,"2,216","2,116","1,456",65.7,2.7,68.8,2.6,"1,241",56.0,2.8,58.7,2.8,,,,
CALIFORNIA,"29,894","24,890","16,096",53.8,1.0,64.7,1.0,"14,416",48.2,1.0,57.9,1.0,,,,
COLORADO,"4,242","3,895","2,893",68.2,2.4,74.3,2.3,"2,707",63.8,2.5,69.5,2.5,,,,
CONNECTICUT,"2,759","2,483","1,763",63.9,2.6,71.0,2.6,"1,586",57.5,2.7,63.9,2.8,,,,
DELAWARE,729,669,487,66.8,2.6,72.8,2.5,417,57.2,2.7,62.3,2.8,,,,
DISTRICT OF COLUMBIA,553,512,420,75.9,2.4,82.1,2.2,380,68.7,2.6,74.3,2.5,,,,
FLORIDA,"16,202","14,428","9,604",59.3,1.3,66.6,1.3,"8,578",52.9,1.3,59.5,1.3,,,,
GEORGIA,"7,626","7,048","4,892",64.1,1.8,69.4,1.8,"4,246",55.7,1.9,60.2,1.9,,,,
HAWAII,"1,064",974,530,49.8,2.7,54.4,2.8,460,43.3,2.7,47.3,2.8,,,,
IDAHO,"1,224","1,150",790,64.5,2.7,68.7,2.7,714,58.3,2.7,62.1,2.8,,,,
ILLINOIS,"9,723","8,970","6,665",68.5,1.6,74.3,1.5,"5,719",58.8,1.7,63.8,1.7,,,,
INDIANA,"4,988","4,795","3,298",66.1,2.2,68.8,2.2,"2,795",56.0,2.3,58.3,2.3,,,,
IOWA,"2,394","2,292","1,657",69.2,2.6,72.3,2.5,"1,454",60.7,2.7,63.4,2.7,,,,
KANSAS,"2,142","2,029","1,438",67.1,2.8,70.9,2.8,"1,243",58.0,3.0,61.3,3.0,,,,
KENTUCKY,"3,348","3,246","2,253",67.3,2.7,69.4,2.7,"1,850",55.3,2.8,57.0,2.9,,,,
LOUISIANA,"3,463","3,353","2,446",70.6,2.5,73.0,2.4,"2,067",59.7,2.6,61.6,2.7,,,,
MAINE,"1,058","1,038",830,78.5,2.5,80.0,2.5,754,71.3,2.8,72.7,2.8,,,,
MARYLAND,"4,623","4,158","3,114",67.3,2.3,74.9,2.3,"2,737",59.2,2.4,65.8,2.5,,,,
MASSACHUSETTS,"5,374","4,967","3,660",68.1,2.1,73.7,2.0,"3,315",61.7,2.2,66.7,2.2,,,,
MICHIGAN,"7,624","7,332","5,434",71.3,1.7,74.1,1.7,"4,713",61.8,1.8,64.3,1.8,,,,
MINNESOTA,"4,190","3,985","3,055",72.9,2.3,76.7,2.2,"2,738",65.3,2.4,68.7,2.4,,,,
MISSISSIPPI,"2,203","2,170","1,725",78.3,2.3,79.5,2.2,"1,470",66.7,2.6,67.7,2.6,,,,
MISSOURI,"4,626","4,486","3,333",72.1,2.2,74.3,2.2,"2,906",62.8,2.4,64.8,2.4,,,,
MONTANA,798,790,581,72.8,2.3,73.5,2.3,521,65.2,2.4,65.9,2.4,,,,
NEBRASKA,"1,407","1,336","1,008",71.7,2.6,75.5,2.6,893,63.4,2.8,66.8,2.8,,,,
NEVADA,"2,234","1,975","1,371",61.4,2.7,69.4,2.7,"1,195",53.5,2.8,60.5,2.9,,,,
NEW HAMPSHIRE,"1,044","1,012",763,73.1,2.5,75.4,2.5,698,66.9,2.7,69.0,2.6,,,,
NEW JERSEY,"6,862","5,958","4,165",60.7,1.9,69.9,2.0,"3,665",53.4,2.0,61.5,2.1,,,,
NEW MEXICO,"1,547","1,396",916,59.2,2.5,65.6,2.6,765,49.4,2.6,54.8,2.7,,,,
NEW YORK,"15,506","13,751","9,142",59.0,1.3,66.5,1.4,"7,869",50.7,1.3,57.2,1.4,,,,
NORTH CAROLINA,"7,631","6,960","5,194",68.1,1.8,74.6,1.7,"4,700",61.6,1.9,67.5,1.9,,,,
NORTH DAKOTA,583,564,424,72.8,2.4,75.2,2.4,362,62.1,2.6,64.2,2.6,,,,
OHIO,"8,811","8,499","6,128",69.5,1.6,72.1,1.6,"5,408",61.4,1.7,63.6,1.7,,,,
OKLAHOMA,"2,923","2,746","1,861",63.7,2.8,67.8,2.8,"1,555",53.2,2.9,56.6,3.0,,,,
OREGON,"3,185","2,929","2,147",67.4,2.6,73.3,2.6,"1,942",61.0,2.7,66.3,2.8,,,,
PENNSYLVANIA,"9,980","9,596","6,909",69.2,1.5,72.0,1.5,"6,008",60.2,1.6,62.6,1.6,,,,
RHODE ISLAND,836,766,538,64.4,2.7,70.3,2.7,464,55.5,2.8,60.6,2.9,,,,
SOUTH CAROLINA,"3,733","3,598","2,575",69.0,2.5,71.6,2.4,"2,233",59.8,2.6,62.1,2.6,,,,
SOUTH DAKOTA,631,612,437,69.3,2.7,71.4,2.7,362,57.3,2.9,59.1,2.9,,,,
TENNESSEE,"5,057","4,872","3,251",64.3,2.2,66.7,2.2,"2,630",52.0,2.3,54.0,2.3,,,,
TEXAS,"20,172","17,378","11,724",58.1,1.2,67.5,1.2,"9,626",47.7,1.2,55.4,1.3,,,,
UTAH,"2,096","1,969","1,398",66.7,2.3,71.0,2.2,"1,234",58.9,2.4,62.7,2.4,,,,
VERMONT,500,488,351,70.2,2.8,71.9,2.8,305,61.0,3.0,62.5,3.0,,,,
VIRGINIA,"6,343","5,829","4,399",69.4,1.9,75.5,1.9,"3,973",62.6,2.0,68.2,2.0,,,,
WASHINGTON,"5,592","5,104","3,906",69.9,2.0,76.5,2.0,"3,382",60.5,2.2,66.3,2.2,,,,
WEST VIRGINIA,"1,434","1,425",913,63.6,2.8,64.1,2.8,723,50.4,2.9,50.8,2.9,,,,
WISCONSIN,"4,465","4,354","3,323",74.4,2.2,76.3,2.1,"3,068",68.7,2.3,70.5,2.3,,,,
WYOMING,436,427,304,69.7,2.7,71.1,2.7,277,63.5,2.8,64.8,2.8,,,,
,,,,,,,,,,,,,,,,
1 This figure added to or subtracted from the estimate provides the 90-percent confidence interval.,,,,,,,,,,,,,,,,
"Source: U.S. Census Bureau, Current Population Survey,November 2016",,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
